pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid	abangle	annotation_H	annotation_L	imgt_H	imgt_L	sequence_raw	sequence_H	sequence_L	structure	structure_chothia	in_nr_set	curated_quality_dataset	split	date_parsed	has_light_chain
9hub	B	C	0	X	protein		alpha-bungarotoxin	TOXIN	11/19/25	D11 mAbs bound to alpha-Bungarotoxin at pH 7.5	Bungarus multicinctus; Homo sapiens	homo sapiens	homo sapiens	bungarus multicinctus	Wade, J.W., Bohn, M.F., Laustsen, A.H., Morth, J.P.	1.33	X-RAY DIFFRACTION	0.195	0.159	False	True	IGHV1	IGLV6	Lambda						sabdab_dataset/9hub/abangle/9hub.abangle	sabdab_dataset/9hub/annotation/9hub_B_VH.ann	sabdab_dataset/9hub/annotation/9hub_C_VL.ann	sabdab_dataset/9hub/imgt/9hub_B_H.ann	sabdab_dataset/9hub/imgt/9hub_C_L.ann	sabdab_dataset/9hub/sequence/9hub_raw.pdb	sabdab_dataset/9hub/sequence/9hub_B_VH.fa	sabdab_dataset/9hub/sequence/9hub_C_VL.fa	sabdab_dataset/9hub/structure/9hub.pdb	sabdab_dataset/9hub/structure/chothia/9hub.pdb	True	True	train	2025-11-19	True
9huo	C	D	0	B	protein		alpha-cobratoxin	TOXIN	11/19/25	A01 mAbs bound to cobratoxin at pH 5.5	Homo sapiens; Naja kaouthia	homo sapiens	homo sapiens	naja kaouthia	Wade, J.W., Bohn, M.F., Laustsen, A.H., Morth, J.P.	1.6	X-RAY DIFFRACTION	0.225	0.183	False	True	IGHV1	IGLV3	Lambda						sabdab_dataset/9huo/abangle/9huo.abangle	sabdab_dataset/9huo/annotation/9huo_C_VH.ann	sabdab_dataset/9huo/annotation/9huo_D_VL.ann	sabdab_dataset/9huo/imgt/9huo_C_H.ann	sabdab_dataset/9huo/imgt/9huo_D_L.ann	sabdab_dataset/9huo/sequence/9huo_raw.pdb	sabdab_dataset/9huo/sequence/9huo_C_VH.fa	sabdab_dataset/9huo/sequence/9huo_D_VL.fa	sabdab_dataset/9huo/structure/9huo.pdb	sabdab_dataset/9huo/structure/chothia/9huo.pdb	True	True	test	2025-11-19	True
9hur	B		0	A	protein		cd63 antigen	CELL ADHESION	11/19/25	Crystal structure of Tetraspanin CD63mutant Large Extracellular Loop (LEL) in complex with sybody LA4	Homo sapiens; synthetic construct	synthetic construct		homo sapiens	Nagarathinam, K., Krey, T.	1.65	X-RAY DIFFRACTION	0.238	0.211	False	True	IGHV1									sabdab_dataset/9hur/annotation/9hur_B_VH.ann		sabdab_dataset/9hur/imgt/9hur_B_H.ann		sabdab_dataset/9hur/sequence/9hur_raw.pdb	sabdab_dataset/9hur/sequence/9hur_B_VH.fa		sabdab_dataset/9hur/structure/9hur.pdb	sabdab_dataset/9hur/structure/chothia/9hur.pdb	True	True	train	2025-11-19	False
9hxo	C	D	0	A	protein		alpha-cobratoxin	TOXIN	11/19/25	A01 mAbs bound to cobratoxin at pH 6.0	Homo sapiens; Naja kaouthia	homo sapiens	homo sapiens	naja kaouthia	Wade, J.W., Bohn, M.F., Laustsen, A.H., Morth, J.P.	1.49	X-RAY DIFFRACTION	0.249	0.204	False	True	IGHV1	IGLV3	Lambda						sabdab_dataset/9hxo/abangle/9hxo.abangle	sabdab_dataset/9hxo/annotation/9hxo_C_VH.ann	sabdab_dataset/9hxo/annotation/9hxo_D_VL.ann	sabdab_dataset/9hxo/imgt/9hxo_C_H.ann	sabdab_dataset/9hxo/imgt/9hxo_D_L.ann	sabdab_dataset/9hxo/sequence/9hxo_raw.pdb	sabdab_dataset/9hxo/sequence/9hxo_C_VH.fa	sabdab_dataset/9hxo/sequence/9hxo_D_VL.fa	sabdab_dataset/9hxo/structure/9hxo.pdb	sabdab_dataset/9hxo/structure/chothia/9hxo.pdb	False	False	test	2025-11-19	True
9hzj	A		0	B	protein		circumsporozoite protein	IMMUNE SYSTEM	04/23/25	sdAb1 in complex with PfCSP a-TSR domain	Lama glama; Plasmodium falciparum NF54	lama glama		plasmodium falciparum nf54	Sterckx, Y.G.-J., Geens, R.	2.06	X-RAY DIFFRACTION	0.242	0.195	False	True	IGHV1									sabdab_dataset/9hzj/annotation/9hzj_A_VH.ann		sabdab_dataset/9hzj/imgt/9hzj_A_H.ann		sabdab_dataset/9hzj/sequence/9hzj_raw.pdb	sabdab_dataset/9hzj/sequence/9hzj_A_VH.fa		sabdab_dataset/9hzj/structure/9hzj.pdb	sabdab_dataset/9hzj/structure/chothia/9hzj.pdb	True	True	train	2025-04-23	False
9hzk	A		0	B	protein		circumsporozoite protein	IMMUNE SYSTEM	04/23/25	sdAb9 in complex with PfCSP aTSR domain	Lama glama; Plasmodium falciparum NF54	lama glama		plasmodium falciparum nf54	Sterckx, Y.G.-J., Geens, R.	2.07	X-RAY DIFFRACTION	0.226	0.184	False	True	IGHV1									sabdab_dataset/9hzk/annotation/9hzk_A_VH.ann		sabdab_dataset/9hzk/imgt/9hzk_A_H.ann		sabdab_dataset/9hzk/sequence/9hzk_raw.pdb	sabdab_dataset/9hzk/sequence/9hzk_A_VH.fa		sabdab_dataset/9hzk/structure/9hzk.pdb	sabdab_dataset/9hzk/structure/chothia/9hzk.pdb	False	False	validation	2025-04-23	False
9i59	H	L	0	A	protein		envelopment polyprotein	VIRAL PROTEIN	11/26/25	RVFV GnH complexed with RVFV-379 Fab	Homo sapiens; Rift Valley fever virus	homo sapiens	homo sapiens	rift valley fever virus	Paesen, G.C., Bowden, T.A.	2.09	X-RAY DIFFRACTION	0.251	0.212	False	True	IGHV4	IGKV1	Kappa						sabdab_dataset/9i59/abangle/9i59.abangle	sabdab_dataset/9i59/annotation/9i59_H_VH.ann	sabdab_dataset/9i59/annotation/9i59_L_VL.ann	sabdab_dataset/9i59/imgt/9i59_H_H.ann	sabdab_dataset/9i59/imgt/9i59_L_L.ann	sabdab_dataset/9i59/sequence/9i59_raw.pdb	sabdab_dataset/9i59/sequence/9i59_H_VH.fa	sabdab_dataset/9i59/sequence/9i59_L_VL.fa	sabdab_dataset/9i59/structure/9i59.pdb	sabdab_dataset/9i59/structure/chothia/9i59.pdb	True	False	train	2025-11-26	True
9imx	C		0	B	protein		secreted protein orf2	VIRAL PROTEIN/IMMUNE SYSTEM	09/03/25	Immune complex of HEV E2s and P1-5B nanobody	Hepatitis E virus (strain Pakistan); Vicugna pacos	vicugna pacos		hepatitis e virus (strain pakistan)	Tingting, L., Wenhui, X., Ying, G., Shaowei, L.	2.2	X-RAY DIFFRACTION	0.245	0.217	False	True	IGHV1									sabdab_dataset/9imx/annotation/9imx_C_VH.ann		sabdab_dataset/9imx/imgt/9imx_C_H.ann		sabdab_dataset/9imx/sequence/9imx_raw.pdb	sabdab_dataset/9imx/sequence/9imx_C_VH.fa		sabdab_dataset/9imx/structure/9imx.pdb	sabdab_dataset/9imx/structure/chothia/9imx.pdb	True	True	train	2025-09-03	False
9iqp	B		0	A	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	07/16/25	Crystal structure of the Wuhan SARS-CoV-2 Spike RBD (319-541) complexed with 1p1B10 nanobody	Camelus bactrianus; Severe acute respiratory syndrome coronavirus 2	camelus bactrianus		severe acute respiratory syndrome coronavirus2 	Sluchanko, N.N., Matyuta, I.O., Dronova, E.A., Favorskaya, I.A., Esmagambetov, I.B., Shcheblyakov, D.V., Logunov, D.Y., Gintsburg, A.L., Popov, V.O., Boyko, K.M.	1.55	X-RAY DIFFRACTION	0.208	0.174	False	True	IGHV1									sabdab_dataset/9iqp/annotation/9iqp_B_VH.ann		sabdab_dataset/9iqp/imgt/9iqp_B_H.ann		sabdab_dataset/9iqp/sequence/9iqp_raw.pdb	sabdab_dataset/9iqp/sequence/9iqp_B_VH.fa		sabdab_dataset/9iqp/structure/9iqp.pdb	sabdab_dataset/9iqp/structure/chothia/9iqp.pdb	True	True	train	2025-07-16	False
9jbq	A	B	0	C	protein		pcrv	ANTIMICROBIAL PROTEIN/IMMUNE SYSTEM	09/11/24	Structure of the complex between h1F3 Fab and PcrV fragment	Homo sapiens; Pseudomonas aeruginosa	homo sapiens	homo sapiens	pseudomonas aeruginosa	Numata, S., Hara, T., Izawa, M., Okuno, Y., Sato, Y., Yamane, S., Maki, H., Sato, T., Yamano, Y.	2.0	X-RAY DIFFRACTION	0.216	0.169	False	True	IGHV1	IGKV1	Kappa						sabdab_dataset/9jbq/abangle/9jbq.abangle	sabdab_dataset/9jbq/annotation/9jbq_A_VH.ann	sabdab_dataset/9jbq/annotation/9jbq_B_VL.ann	sabdab_dataset/9jbq/imgt/9jbq_A_H.ann	sabdab_dataset/9jbq/imgt/9jbq_B_L.ann	sabdab_dataset/9jbq/sequence/9jbq_raw.pdb	sabdab_dataset/9jbq/sequence/9jbq_A_VH.fa	sabdab_dataset/9jbq/sequence/9jbq_B_VL.fa	sabdab_dataset/9jbq/structure/9jbq.pdb	sabdab_dataset/9jbq/structure/chothia/9jbq.pdb	True	False	train	2024-09-11	True
9jcy	C	B	0	A	protein		spike protein s1	ANTIVIRAL PROTEIN	07/30/25	Crystal structure of the HCoV-HKU1 RBD in complex with Fab	Homo sapiens; Human coronavirus HKU1 (isolate N1)	homo sapiens	homo sapiens	human coronavirus hku1 (isolate n1)	Wang, H., Zhao, Z., Liu, X., Duan, Y., Yang, H.	1.8	X-RAY DIFFRACTION	0.203	0.173	False	True	IGHV4	IGKV1	Kappa						sabdab_dataset/9jcy/abangle/9jcy.abangle	sabdab_dataset/9jcy/annotation/9jcy_C_VH.ann	sabdab_dataset/9jcy/annotation/9jcy_B_VL.ann	sabdab_dataset/9jcy/imgt/9jcy_C_H.ann	sabdab_dataset/9jcy/imgt/9jcy_B_L.ann	sabdab_dataset/9jcy/sequence/9jcy_raw.pdb	sabdab_dataset/9jcy/sequence/9jcy_C_VH.fa	sabdab_dataset/9jcy/sequence/9jcy_B_VL.fa	sabdab_dataset/9jcy/structure/9jcy.pdb	sabdab_dataset/9jcy/structure/chothia/9jcy.pdb	True	False	train	2025-07-30	True
9jd0	E		0	C	protein		transmembrane protease serine 2 catalytic chain	ANTIVIRAL PROTEIN	07/30/25	Crystal structure of TMPRSS2 in complex with nanobody	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Wang, H., Zhao, Z., Liu, X., Duan, Y., Yang, H.	2.0	X-RAY DIFFRACTION	0.221	0.188	False	True	IGHV3									sabdab_dataset/9jd0/annotation/9jd0_E_VH.ann		sabdab_dataset/9jd0/imgt/9jd0_E_H.ann		sabdab_dataset/9jd0/sequence/9jd0_raw.pdb	sabdab_dataset/9jd0/sequence/9jd0_E_VH.fa		sabdab_dataset/9jd0/structure/9jd0.pdb	sabdab_dataset/9jd0/structure/chothia/9jd0.pdb	False	False	train	2025-07-30	False
9jd1	B	A	0	D	protein		transmembrane protease serine 2 catalytic chain	ANTIVIRAL PROTEIN	07/30/25	Crystal structure of TMPRSS2 in complex with Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Wang, H., Liu, X., Zhao, Z., Duan, Y., Yang, H.	1.9	X-RAY DIFFRACTION	0.223	0.19	False	True	IGHV3	IGLV6	Lambda						sabdab_dataset/9jd1/abangle/9jd1.abangle	sabdab_dataset/9jd1/annotation/9jd1_B_VH.ann	sabdab_dataset/9jd1/annotation/9jd1_A_VL.ann	sabdab_dataset/9jd1/imgt/9jd1_B_H.ann	sabdab_dataset/9jd1/imgt/9jd1_A_L.ann	sabdab_dataset/9jd1/sequence/9jd1_raw.pdb	sabdab_dataset/9jd1/sequence/9jd1_B_VH.fa	sabdab_dataset/9jd1/sequence/9jd1_A_VL.fa	sabdab_dataset/9jd1/structure/9jd1.pdb	sabdab_dataset/9jd1/structure/chothia/9jd1.pdb	True	False	test	2025-07-30	True
9jeb	A	a	0	B	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	09/03/25	Crystal structure of SARS-CoV-2 RBD in complex with a neutralizing antibody scFv N1	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens		severe acute respiratory syndrome coronavirus2 	Guo, K., Zhang, N., Guo, Y.	2.3	X-RAY DIFFRACTION	0.206	0.178	True	True	unknown	unknown	unknown						sabdab_dataset/9jeb/abangle/9jeb.abangle	sabdab_dataset/9jeb/annotation/9jeb_A_VH.ann	sabdab_dataset/9jeb/annotation/9jeb_A_VL.ann	sabdab_dataset/9jeb/imgt/9jeb_A_H.ann	sabdab_dataset/9jeb/imgt/9jeb_A_L.ann	sabdab_dataset/9jeb/sequence/9jeb_raw.pdb	sabdab_dataset/9jeb/sequence/9jeb_A_VH.fa	sabdab_dataset/9jeb/sequence/9jeb_A_VL.fa	sabdab_dataset/9jeb/structure/9jeb.pdb	sabdab_dataset/9jeb/structure/chothia/9jeb.pdb	True	True	train	2025-09-03	True
9jno	D	B	0	A	protein		hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	02/18/26	The complex structure of antibody CH76 bound to the hemagglutinin of influenza B virus	Homo sapiens; Influenza B virus	homo sapiens	homo sapiens	influenza b virus	Ge, J.W., Fan, M., Zhao, M.	1.95	X-RAY DIFFRACTION	0.278	0.226	False	True	IGHV1	IGKV1	Kappa						sabdab_dataset/9jno/abangle/9jno.abangle	sabdab_dataset/9jno/annotation/9jno_D_VH.ann	sabdab_dataset/9jno/annotation/9jno_B_VL.ann	sabdab_dataset/9jno/imgt/9jno_D_H.ann	sabdab_dataset/9jno/imgt/9jno_B_L.ann	sabdab_dataset/9jno/sequence/9jno_raw.pdb	sabdab_dataset/9jno/sequence/9jno_D_VH.fa	sabdab_dataset/9jno/sequence/9jno_B_VL.fa	sabdab_dataset/9jno/structure/9jno.pdb	sabdab_dataset/9jno/structure/chothia/9jno.pdb	True	False	train	2026-02-18	True
9jqv	C	D	0	B	protein		envelopment polyprotein	VIRAL PROTEIN/IMMUNE SYSTEM	06/18/25	The crystal structure of SFTSV Gn and SD12 antibody complex	Homo sapiens; SFTS virus HB29	homo sapiens	homo sapiens	sfts virus hb29	Shi, W.F., Quan, C.S., Qi, J.X.	2.4	X-RAY DIFFRACTION	0.255	0.225	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/9jqv/abangle/9jqv.abangle	sabdab_dataset/9jqv/annotation/9jqv_C_VH.ann	sabdab_dataset/9jqv/annotation/9jqv_D_VL.ann	sabdab_dataset/9jqv/imgt/9jqv_C_H.ann	sabdab_dataset/9jqv/imgt/9jqv_D_L.ann	sabdab_dataset/9jqv/sequence/9jqv_raw.pdb	sabdab_dataset/9jqv/sequence/9jqv_C_VH.fa	sabdab_dataset/9jqv/sequence/9jqv_D_VL.fa	sabdab_dataset/9jqv/structure/9jqv.pdb	sabdab_dataset/9jqv/structure/chothia/9jqv.pdb	True	False	test	2025-06-18	True
9k6j	A	B	0	C	protein		spike protein s1	VIRAL PROTEIN/IMMUNE SYSTEM	01/07/26	Crystal structure of SARS-CoV-2 WT RBD bound with P5-1C8 Fab	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Lv, N.N., Yang, R.Y.	2.39	X-RAY DIFFRACTION	0.283	0.236	False	True	IGHV3	IGKV3	Kappa						sabdab_dataset/9k6j/abangle/9k6j.abangle	sabdab_dataset/9k6j/annotation/9k6j_A_VH.ann	sabdab_dataset/9k6j/annotation/9k6j_B_VL.ann	sabdab_dataset/9k6j/imgt/9k6j_A_H.ann	sabdab_dataset/9k6j/imgt/9k6j_B_L.ann	sabdab_dataset/9k6j/sequence/9k6j_raw.pdb	sabdab_dataset/9k6j/sequence/9k6j_A_VH.fa	sabdab_dataset/9k6j/sequence/9k6j_B_VL.fa	sabdab_dataset/9k6j/structure/9k6j.pdb	sabdab_dataset/9k6j/structure/chothia/9k6j.pdb	False	False	train	2026-01-07	True
9kur	G	D	0	A	protein		nucleoprotein	VIRAL PROTEIN	10/15/25	Crystal structure of mAb nCoV400Fab with SARS-CoV-2 N-CTD Complex	Homo sapiens; Severe acute respiratory syndrome coronavirus 2	homo sapiens	homo sapiens	severe acute respiratory syndrome coronavirus2 	Xue, S.J., Chen, S.D.	2.06	X-RAY DIFFRACTION	0.249	0.199	False	True	IGHV3	IGLV3	Lambda						sabdab_dataset/9kur/abangle/9kur.abangle	sabdab_dataset/9kur/annotation/9kur_G_VH.ann	sabdab_dataset/9kur/annotation/9kur_D_VL.ann	sabdab_dataset/9kur/imgt/9kur_G_H.ann	sabdab_dataset/9kur/imgt/9kur_D_L.ann	sabdab_dataset/9kur/sequence/9kur_raw.pdb	sabdab_dataset/9kur/sequence/9kur_G_VH.fa	sabdab_dataset/9kur/sequence/9kur_D_VL.fa	sabdab_dataset/9kur/structure/9kur.pdb	sabdab_dataset/9kur/structure/chothia/9kur.pdb	True	False	train	2025-10-15	True
9l9y	A	B	0	D	protein		capsid protein	VIRAL PROTEIN/IMMUNE SYSTEM	01/14/26	Immune complex of HEV E2s and mAb 6H8	Hepatitis E virus; Mus musculus	mus musculus	mus musculus	hepatitis e virus	Zimin, T., Guiping, W., Hai, Y., Qing, Z., Zizheng, Z., Ningshao, X., Shaowei, L.	2.44	X-RAY DIFFRACTION	0.236	0.216	False	False	IGHV1	IGKV4	Kappa						sabdab_dataset/9l9y/abangle/9l9y.abangle	sabdab_dataset/9l9y/annotation/9l9y_A_VH.ann	sabdab_dataset/9l9y/annotation/9l9y_B_VL.ann	sabdab_dataset/9l9y/imgt/9l9y_A_H.ann	sabdab_dataset/9l9y/imgt/9l9y_B_L.ann	sabdab_dataset/9l9y/sequence/9l9y_raw.pdb	sabdab_dataset/9l9y/sequence/9l9y_A_VH.fa	sabdab_dataset/9l9y/sequence/9l9y_B_VL.fa	sabdab_dataset/9l9y/structure/9l9y.pdb	sabdab_dataset/9l9y/structure/chothia/9l9y.pdb	True	False	train	2026-01-14	True
9lad	B		0	C	protein		neuronal pentraxin-2	PROTEIN BINDING	12/10/25	Crystal structure of the complex between Neuronal Pentraxin 2 (NP2 PTX) and antibody fragment VHH N1	Homo sapiens; Vicugna pacos	vicugna pacos		homo sapiens	Caaveiro, J.M.M., Yokoo, T., Tsumoto, K.	2.02	X-RAY DIFFRACTION	0.22	0.182	False	True	IGHV1									sabdab_dataset/9lad/annotation/9lad_B_VH.ann		sabdab_dataset/9lad/imgt/9lad_B_H.ann		sabdab_dataset/9lad/sequence/9lad_raw.pdb	sabdab_dataset/9lad/sequence/9lad_B_VH.fa		sabdab_dataset/9lad/structure/9lad.pdb	sabdab_dataset/9lad/structure/chothia/9lad.pdb	True	True	validation	2025-12-10	False
9lh2	B		0	A	protein		spike protein s1	ANTIVIRAL PROTEIN	01/14/26	Crystal structure of SARS-CoV-2 spike receptor-binding domain (Delta) in complex with pH-dependent nanobody MNb-11.	Severe acute respiratory syndrome coronavirus 2; Vicugna pacos	vicugna pacos		severe acute respiratory syndrome coronavirus2 	Zhang, X.D., Lu, G.W.	2.3	X-RAY DIFFRACTION	0.236	0.209	False	True	IGHV3									sabdab_dataset/9lh2/annotation/9lh2_B_VH.ann		sabdab_dataset/9lh2/imgt/9lh2_B_H.ann		sabdab_dataset/9lh2/sequence/9lh2_raw.pdb	sabdab_dataset/9lh2/sequence/9lh2_B_VH.fa		sabdab_dataset/9lh2/structure/9lh2.pdb	sabdab_dataset/9lh2/structure/chothia/9lh2.pdb	True	True	train	2026-01-14	False
9lme	C		0	B	protein		cd276 antigen	IMMUNE SYSTEM	01/21/26	Checkpoint regulator protein in complex with a nanobody	Homo sapiens; Lama glama	lama glama		homo sapiens	Chen, W.M., Sahili, A., Yew, W.N., Lescar, J.	2.404	X-RAY DIFFRACTION	0.21	0.178	False	True	IGHV3									sabdab_dataset/9lme/annotation/9lme_C_VH.ann		sabdab_dataset/9lme/imgt/9lme_C_H.ann		sabdab_dataset/9lme/sequence/9lme_raw.pdb	sabdab_dataset/9lme/sequence/9lme_C_VH.fa		sabdab_dataset/9lme/structure/9lme.pdb	sabdab_dataset/9lme/structure/chothia/9lme.pdb	True	True	train	2026-01-21	False
9lrf	H	L	0	K	protein		killer cell immunoglobulin-like receptor 2dl2	IMMUNE SYSTEM	10/15/25	Killer immunoglobulin receptor KIR2DL2 in complex with KIR2DL2_KIR2DL2/3 agonist 61-Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Nishikawa, Y.	2.5	X-RAY DIFFRACTION	0.274	0.234	False	True	IGHV1	IGKV1	Kappa						sabdab_dataset/9lrf/abangle/9lrf.abangle	sabdab_dataset/9lrf/annotation/9lrf_H_VH.ann	sabdab_dataset/9lrf/annotation/9lrf_L_VL.ann	sabdab_dataset/9lrf/imgt/9lrf_H_H.ann	sabdab_dataset/9lrf/imgt/9lrf_L_L.ann	sabdab_dataset/9lrf/sequence/9lrf_raw.pdb	sabdab_dataset/9lrf/sequence/9lrf_H_VH.fa	sabdab_dataset/9lrf/sequence/9lrf_L_VL.fa	sabdab_dataset/9lrf/structure/9lrf.pdb	sabdab_dataset/9lrf/structure/chothia/9lrf.pdb	True	False	train	2025-10-15	True
9m5b	A	B	0	C	protein		low affinity immunoglobulin gamma fc region receptor ii-b	IMMUNE SYSTEM	12/17/25	A Human Fc Receptor Ectodomain in Complex With a Fab	Homo sapiens	homo sapiens	homo sapiens	homo sapiens	Zhao, Z., Wang, H., Duan, Y., Zhang, H., Yang, H.	1.66	X-RAY DIFFRACTION	0.218	0.189	False	True	IGHV3	IGKV1	Kappa						sabdab_dataset/9m5b/abangle/9m5b.abangle	sabdab_dataset/9m5b/annotation/9m5b_A_VH.ann	sabdab_dataset/9m5b/annotation/9m5b_B_VL.ann	sabdab_dataset/9m5b/imgt/9m5b_A_H.ann	sabdab_dataset/9m5b/imgt/9m5b_B_L.ann	sabdab_dataset/9m5b/sequence/9m5b_raw.pdb	sabdab_dataset/9m5b/sequence/9m5b_A_VH.fa	sabdab_dataset/9m5b/sequence/9m5b_B_VL.fa	sabdab_dataset/9m5b/structure/9m5b.pdb	sabdab_dataset/9m5b/structure/chothia/9m5b.pdb	True	False	train	2025-12-17	True
9m6j	A		0	H	protein		immunoglobulin g-binding protein a	IMMUNE SYSTEM	11/12/25	Crystal structure of S. aureus protein A bound to a camelid single-domain antibody	Camelidae; Staphylococcus aureus subsp. aureus NCTC 8325	camelidae		staphylococcus aureus subsp. aureus nctc 8325	Kong, Y., Shi, J.L., Wu, F.D., Zhao, T., Zhu, X.Y., Xu, Q.Y., Wang, R.B., Song, Y.D., Li, Q.X., Wang, Y.L., Gao, X.Y., Yang, Y.D., Wu, Y.L., Yang, Z.L., Yao, J.H., Ying, T.L.	2.0	X-RAY DIFFRACTION	0.226	0.192	False	True	IGHV1									sabdab_dataset/9m6j/annotation/9m6j_A_VH.ann		sabdab_dataset/9m6j/imgt/9m6j_A_H.ann		sabdab_dataset/9m6j/sequence/9m6j_raw.pdb	sabdab_dataset/9m6j/sequence/9m6j_A_VH.fa		sabdab_dataset/9m6j/structure/9m6j.pdb	sabdab_dataset/9m6j/structure/chothia/9m6j.pdb	True	True	train	2025-11-12	False
9m6o	B		0	A	protein		immunoglobulin g-binding protein a	IMMUNE SYSTEM	11/12/25	Crystal structure of S. aureus protein A bound to a camelid single-domain antibody	Camelus dromedarius; Staphylococcus aureus (strain NCTC 8325 / PS 47)	camelus dromedarius		staphylococcus aureus (strain nctc 8325 / ps47) 	Kong, Y., Shi, J.L., Wu, F.D., Zhao, T., Zhu, X.Y., Xu, Q.Y., Wang, R.B., Song, Y.D., Li, Q.X., Wang, Y.L., Gao, X.Y., Yang, Y.D., Wu, Y.L., Yang, Z.L., Yao, J.H., Ying, T.L.	1.49	X-RAY DIFFRACTION	0.257	0.224	False	True	IGHV1									sabdab_dataset/9m6o/annotation/9m6o_B_VH.ann		sabdab_dataset/9m6o/imgt/9m6o_B_H.ann		sabdab_dataset/9m6o/sequence/9m6o_raw.pdb	sabdab_dataset/9m6o/sequence/9m6o_B_VH.fa		sabdab_dataset/9m6o/structure/9m6o.pdb	sabdab_dataset/9m6o/structure/chothia/9m6o.pdb	False	False	train	2025-11-12	False
9mer	H	L	0	B	protein		h1h5 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H5:FluA20 Chimeric Influenza HA Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2.0	X-RAY DIFFRACTION	0.215	0.206	False	True	IGHV4	IGKV1	Kappa						sabdab_dataset/9mer/abangle/9mer.abangle	sabdab_dataset/9mer/annotation/9mer_H_VH.ann	sabdab_dataset/9mer/annotation/9mer_L_VL.ann	sabdab_dataset/9mer/imgt/9mer_H_H.ann	sabdab_dataset/9mer/imgt/9mer_L_L.ann	sabdab_dataset/9mer/sequence/9mer_raw.pdb	sabdab_dataset/9mer/sequence/9mer_H_VH.fa	sabdab_dataset/9mer/sequence/9mer_L_VL.fa	sabdab_dataset/9mer/structure/9mer.pdb	sabdab_dataset/9mer/structure/chothia/9mer.pdb	False	False	train	2025-03-19	True
9mev	H	L	0	B	protein		h1h3 ha	VIRAL PROTEIN/IMMUNE SYSTEM	03/19/25	Structure of H1H3:FluA20 Chimeric Antigen Complex	Homo sapiens; Influenza A virus	homo sapiens	homo sapiens	influenza a virus	Seraj, N.	2.06	X-RAY DIFFRACTION	0.209	0.181	False	True	IGHV4	IGKV1	Kappa						sabdab_dataset/9mev/abangle/9mev.abangle	sabdab_dataset/9mev/annotation/9mev_H_VH.ann	sabdab_dataset/9mev/annotation/9mev_L_VL.ann	sabdab_dataset/9mev/imgt/9mev_H_H.ann	sabdab_dataset/9mev/imgt/9mev_L_L.ann	sabdab_dataset/9mev/sequence/9mev_raw.pdb	sabdab_dataset/9mev/sequence/9mev_H_VH.fa	sabdab_dataset/9mev/sequence/9mev_L_VL.fa	sabdab_dataset/9mev/structure/9mev.pdb	sabdab_dataset/9mev/structure/chothia/9mev.pdb	False	False	train	2025-03-19	True
9mic	H	L	0	C	protein		eod-gt8 engineered mutant of gp120	IMMUNE SYSTEM	05/28/25	Crystal structure of the VRC01-class antibody 4D01, derived from GT1.1 vaccination, in complex with eOD-GT8	Homo sapiens; Human immunodeficiency virus 1	homo sapiens	homo sapiens	human immunodeficiency virus 1	Agrawal, S., Wilson, I.A.	1.97	X-RAY DIFFRACTION	0.252	0.222	False	True	IGHV1	IGKV1	Kappa						sabdab_dataset/9mic/abangle/9mic.abangle	sabdab_dataset/9mic/annotation/9mic_H_VH.ann	sabdab_dataset/9mic/annotation/9mic_L_VL.ann	sabdab_dataset/9mic/imgt/9mic_H_H.ann	sabdab_dataset/9mic/imgt/9mic_L_L.ann	sabdab_dataset/9mic/sequence/9mic_raw.pdb	sabdab_dataset/9mic/sequence/9mic_H_VH.fa	sabdab_dataset/9mic/sequence/9mic_L_VL.fa	sabdab_dataset/9mic/structure/9mic.pdb	sabdab_dataset/9mic/structure/chothia/9mic.pdb	True	False	train	2025-05-28	True
